"tensor(15.7867, device='cuda:1')"
"tensor(37.3569, device='cuda:1')"
"tensor(21.5382, device='cuda:1')"
"tensor(57.6289, device='cuda:1')"
"tensor(51.8387, device='cuda:1')"
"tensor(41.7526, device='cuda:1')"
"tensor(18.3943, device='cuda:1')"
"tensor(44.9712, device='cuda:1')"
"tensor(58.7452, device='cuda:1')"
"tensor(35.5583, device='cuda:1')"
"tensor(42.5792, device='cuda:1')"
"tensor(96.7567, device='cuda:1')"
"tensor(80.7306, device='cuda:1')"
"tensor(111.6402, device='cuda:1')"
"tensor(27.8139, device='cuda:1')"
"tensor(38.0343, device='cuda:1')"
"tensor(38.6311, device='cuda:1')"
"tensor(60.8600, device='cuda:1')"
"tensor(51.7550, device='cuda:1')"
"tensor(19.6463, device='cuda:1')"
"tensor(30.2435, device='cuda:1')"
"tensor(16.0219, device='cuda:1')"
"tensor(76.5347, device='cuda:1')"
"tensor(50.7910, device='cuda:1')"
"tensor(41.5813, device='cuda:1')"
"tensor(84.2482, device='cuda:1')"
"tensor(16.3289, device='cuda:1')"
"tensor(53.9726, device='cuda:1')"
"tensor(37.6195, device='cuda:1')"
"tensor(31.4034, device='cuda:1')"
"tensor(52.3250, device='cuda:1')"
"tensor(28.0554, device='cuda:1')"
"tensor(24.8085, device='cuda:1')"
"tensor(131.8931, device='cuda:1')"
"tensor(49.9489, device='cuda:1')"
"tensor(41.7427, device='cuda:1')"
"tensor(63.8570, device='cuda:1')"
"tensor(75.3834, device='cuda:1')"
"tensor(30.1410, device='cuda:1')"
"tensor(41.7502, device='cuda:1')"
"tensor(58.8072, device='cuda:1')"
"tensor(14.0063, device='cuda:1')"
"tensor(72.2682, device='cuda:1')"
"tensor(27.7248, device='cuda:1')"
"tensor(30.1986, device='cuda:1')"
"tensor(60.3104, device='cuda:1')"
"tensor(37.2881, device='cuda:1')"
"tensor(53.8986, device='cuda:1')"
"tensor(93.6031, device='cuda:1')"
"tensor(26.3000, device='cuda:1')"
"tensor(52.7284, device='cuda:1')"
"tensor(162.8278, device='cuda:1')"
"tensor(28.5311, device='cuda:1')"
"tensor(90.0933, device='cuda:1')"
"tensor(62.2143, device='cuda:1')"
"tensor(51.2584, device='cuda:1')"
"tensor(76.7275, device='cuda:1')"
"tensor(45.7069, device='cuda:1')"
"tensor(37.7346, device='cuda:1')"
"tensor(94.9516, device='cuda:1')"
"tensor(60.9099, device='cuda:1')"
"tensor(28.9603, device='cuda:1')"
"tensor(47.5574, device='cuda:1')"
"tensor(42.3128, device='cuda:1')"
"tensor(93.9156, device='cuda:1')"
"tensor(91.3452, device='cuda:1')"
"tensor(96.5380, device='cuda:1')"
"tensor(34.9296, device='cuda:1')"
"tensor(47.1486, device='cuda:1')"
"tensor(19.5398, device='cuda:1')"
"tensor(41.6089, device='cuda:1')"
"tensor(60.5771, device='cuda:1')"
"tensor(31.9498, device='cuda:1')"
"tensor(110.1588, device='cuda:1')"
"tensor(101.6743, device='cuda:1')"
"tensor(47.4462, device='cuda:1')"
"tensor(95.4501, device='cuda:1')"
"tensor(49.3233, device='cuda:1')"
"tensor(27.0496, device='cuda:1')"
"tensor(56.8469, device='cuda:1')"
"tensor(71.7642, device='cuda:1')"
"tensor(26.7192, device='cuda:1')"
"tensor(115.4706, device='cuda:1')"
"tensor(71.4106, device='cuda:1')"
"tensor(14.0072, device='cuda:1')"
"tensor(45.3512, device='cuda:1')"
"tensor(73.0217, device='cuda:1')"
"tensor(37.3299, device='cuda:1')"
"tensor(99.5217, device='cuda:1')"
"tensor(44.0043, device='cuda:1')"
"tensor(54.7772, device='cuda:1')"
"tensor(51.8743, device='cuda:1')"
"tensor(41.3662, device='cuda:1')"
"tensor(24.2560, device='cuda:1')"
"tensor(63.9197, device='cuda:1')"
"tensor(84.0428, device='cuda:1')"
"tensor(26.5732, device='cuda:1')"
"tensor(78.8529, device='cuda:1')"
"tensor(35.7820, device='cuda:1')"
"tensor(20.3071, device='cuda:1')"
"tensor(44.8758, device='cuda:1')"
"tensor(22.4677, device='cuda:1')"
"tensor(44.3649, device='cuda:1')"
"tensor(116.4313, device='cuda:1')"
"tensor(152.9884, device='cuda:1')"
"tensor(37.7968, device='cuda:1')"
"tensor(25.8637, device='cuda:1')"
"tensor(31.0836, device='cuda:1')"
"tensor(39.5374, device='cuda:1')"
"tensor(38.6703, device='cuda:1')"
"tensor(72.5522, device='cuda:1')"
"tensor(49.5793, device='cuda:1')"
"tensor(69.4216, device='cuda:1')"
"tensor(63.7570, device='cuda:1')"
"tensor(34.5459, device='cuda:1')"
"tensor(22.4213, device='cuda:1')"
"tensor(75.3780, device='cuda:1')"
"tensor(61.1236, device='cuda:1')"
"tensor(21.8439, device='cuda:1')"
