"tensor(28.2717, device='cuda:1')"
"tensor(34.0136, device='cuda:1')"
"tensor(48.6940, device='cuda:1')"
"tensor(100.8647, device='cuda:1')"
"tensor(46.3901, device='cuda:1')"
"tensor(28.4863, device='cuda:1')"
"tensor(82.3682, device='cuda:1')"
"tensor(44.9775, device='cuda:1')"
"tensor(23.1197, device='cuda:1')"
"tensor(48.9552, device='cuda:1')"
"tensor(47.9216, device='cuda:1')"
"tensor(59.2311, device='cuda:1')"
"tensor(29.6830, device='cuda:1')"
"tensor(20.2184, device='cuda:1')"
"tensor(39.8358, device='cuda:1')"
"tensor(43.3783, device='cuda:1')"
"tensor(45.2973, device='cuda:1')"
"tensor(59.1820, device='cuda:1')"
"tensor(14.1874, device='cuda:1')"
"tensor(30.6804, device='cuda:1')"
"tensor(42.3342, device='cuda:1')"
"tensor(27.2745, device='cuda:1')"
"tensor(48.7126, device='cuda:1')"
"tensor(26.0486, device='cuda:1')"
"tensor(32.1721, device='cuda:1')"
"tensor(67.0046, device='cuda:1')"
"tensor(41.4823, device='cuda:1')"
"tensor(47.7588, device='cuda:1')"
"tensor(74.4393, device='cuda:1')"
"tensor(87.2598, device='cuda:1')"
"tensor(49.7761, device='cuda:1')"
"tensor(27.5882, device='cuda:1')"
"tensor(34.4520, device='cuda:1')"
"tensor(74.7280, device='cuda:1')"
"tensor(53.5224, device='cuda:1')"
"tensor(22.3295, device='cuda:1')"
"tensor(30.5456, device='cuda:1')"
"tensor(57.9076, device='cuda:1')"
"tensor(62.7002, device='cuda:1')"
"tensor(24.1715, device='cuda:1')"
"tensor(38.2672, device='cuda:1')"
"tensor(30.9033, device='cuda:1')"
"tensor(33.8468, device='cuda:1')"
"tensor(41.7142, device='cuda:1')"
"tensor(38.1151, device='cuda:1')"
"tensor(113.1089, device='cuda:1')"
"tensor(55.9675, device='cuda:1')"
"tensor(53.1216, device='cuda:1')"
"tensor(147.0256, device='cuda:1')"
"tensor(71.2674, device='cuda:1')"
"tensor(44.9316, device='cuda:1')"
"tensor(144.2952, device='cuda:1')"
"tensor(50.2418, device='cuda:1')"
"tensor(34.2118, device='cuda:1')"
"tensor(39.6921, device='cuda:1')"
"tensor(56.5070, device='cuda:1')"
"tensor(39.1953, device='cuda:1')"
"tensor(25.1624, device='cuda:1')"
"tensor(16.3640, device='cuda:1')"
"tensor(39.5570, device='cuda:1')"
"tensor(16.1482, device='cuda:1')"
"tensor(28.6287, device='cuda:1')"
"tensor(58.4434, device='cuda:1')"
"tensor(30.0089, device='cuda:1')"
"tensor(35.5580, device='cuda:1')"
"tensor(55.0875, device='cuda:1')"
"tensor(87.7227, device='cuda:1')"
"tensor(22.9603, device='cuda:1')"
"tensor(84.9312, device='cuda:1')"
"tensor(40.4463, device='cuda:1')"
"tensor(26.7123, device='cuda:1')"
"tensor(37.0705, device='cuda:1')"
"tensor(21.1832, device='cuda:1')"
"tensor(153.4298, device='cuda:1')"
"tensor(45.1823, device='cuda:1')"
"tensor(45.3708, device='cuda:1')"
"tensor(67.3808, device='cuda:1')"
"tensor(20.5962, device='cuda:1')"
"tensor(32.0599, device='cuda:1')"
"tensor(65.5651, device='cuda:1')"
"tensor(39.0401, device='cuda:1')"
"tensor(36.5099, device='cuda:1')"
"tensor(132.1163, device='cuda:1')"
"tensor(81.5743, device='cuda:1')"
"tensor(34.6603, device='cuda:1')"
"tensor(41.1276, device='cuda:1')"
"tensor(41.1108, device='cuda:1')"
"tensor(57.0737, device='cuda:1')"
"tensor(18.7946, device='cuda:1')"
"tensor(34.7560, device='cuda:1')"
"tensor(25.4768, device='cuda:1')"
"tensor(74.9942, device='cuda:1')"
"tensor(42.9658, device='cuda:1')"
"tensor(39.3565, device='cuda:1')"
"tensor(101.7183, device='cuda:1')"
"tensor(101.7308, device='cuda:1')"
"tensor(59.1122, device='cuda:1')"
"tensor(69.9463, device='cuda:1')"
"tensor(65.8849, device='cuda:1')"
"tensor(49.9446, device='cuda:1')"
"tensor(53.2302, device='cuda:1')"
"tensor(30.3752, device='cuda:1')"
"tensor(61.7622, device='cuda:1')"
"tensor(26.7854, device='cuda:1')"
"tensor(85.2742, device='cuda:1')"
"tensor(33.0294, device='cuda:1')"
"tensor(18.1015, device='cuda:1')"
"tensor(25.8295, device='cuda:1')"
"tensor(85.1408, device='cuda:1')"
"tensor(29.6880, device='cuda:1')"
"tensor(70.4290, device='cuda:1')"
"tensor(38.7159, device='cuda:1')"
"tensor(15.6271, device='cuda:1')"
"tensor(28.6696, device='cuda:1')"
"tensor(59.2046, device='cuda:1')"
"tensor(48.3617, device='cuda:1')"
"tensor(68.3931, device='cuda:1')"
"tensor(32.1993, device='cuda:1')"
"tensor(52.3165, device='cuda:1')"
"tensor(76.1842, device='cuda:1')"
"tensor(49.6476, device='cuda:1')"
"tensor(26.9277, device='cuda:1')"
"tensor(21.4645, device='cuda:1')"
"tensor(78.1934, device='cuda:1')"
"tensor(28.9042, device='cuda:1')"
"tensor(39.8731, device='cuda:1')"
"tensor(60.6323, device='cuda:1')"
"tensor(59.8685, device='cuda:1')"
"tensor(52.6458, device='cuda:1')"
"tensor(78.1149, device='cuda:1')"
"tensor(55.8560, device='cuda:1')"
"tensor(37.6596, device='cuda:1')"
"tensor(93.2890, device='cuda:1')"
"tensor(103.0954, device='cuda:1')"
"tensor(88.2579, device='cuda:1')"
"tensor(49.0248, device='cuda:1')"
"tensor(16.7712, device='cuda:1')"
"tensor(60.7065, device='cuda:1')"
"tensor(25.4227, device='cuda:1')"
"tensor(78.6974, device='cuda:1')"
"tensor(27.7913, device='cuda:1')"
"tensor(69.2764, device='cuda:1')"
"tensor(29.2038, device='cuda:1')"
"tensor(42.1126, device='cuda:1')"
"tensor(62.4305, device='cuda:1')"
"tensor(158.1671, device='cuda:1')"
"tensor(60.4389, device='cuda:1')"
"tensor(58.9207, device='cuda:1')"
"tensor(64.4782, device='cuda:1')"
"tensor(50.4234, device='cuda:1')"
"tensor(46.8502, device='cuda:1')"
"tensor(83.6479, device='cuda:1')"
"tensor(102.4850, device='cuda:1')"
"tensor(43.7093, device='cuda:1')"
"tensor(99.5252, device='cuda:1')"
"tensor(35.1856, device='cuda:1')"
"tensor(44.2181, device='cuda:1')"
"tensor(35.6504, device='cuda:1')"
"tensor(36.7473, device='cuda:1')"
"tensor(20.8953, device='cuda:1')"
"tensor(48.6004, device='cuda:1')"
"tensor(59.1929, device='cuda:1')"
"tensor(27.8945, device='cuda:1')"
"tensor(39.0919, device='cuda:1')"
"tensor(62.1899, device='cuda:1')"
"tensor(32.7711, device='cuda:1')"
"tensor(51.5627, device='cuda:1')"
"tensor(73.7382, device='cuda:1')"
"tensor(18.5756, device='cuda:1')"
"tensor(73.4039, device='cuda:1')"
"tensor(25.9402, device='cuda:1')"
"tensor(38.0013, device='cuda:1')"
"tensor(24.7163, device='cuda:1')"
"tensor(18.5806, device='cuda:1')"
"tensor(42.0206, device='cuda:1')"
"tensor(19.3915, device='cuda:1')"
"tensor(22.9875, device='cuda:1')"
"tensor(16.5174, device='cuda:1')"
"tensor(16.3316, device='cuda:1')"
"tensor(20.2446, device='cuda:1')"
"tensor(60.0871, device='cuda:1')"
"tensor(55.7520, device='cuda:1')"
"tensor(71.2005, device='cuda:1')"
"tensor(67.7626, device='cuda:1')"
"tensor(24.3053, device='cuda:1')"
"tensor(66.2203, device='cuda:1')"
"tensor(45.2578, device='cuda:1')"
"tensor(37.4892, device='cuda:1')"
"tensor(50.5571, device='cuda:1')"
"tensor(48.1230, device='cuda:1')"
"tensor(83.4038, device='cuda:1')"
"tensor(36.6472, device='cuda:1')"
"tensor(48.5294, device='cuda:1')"
"tensor(45.0704, device='cuda:1')"
"tensor(81.1080, device='cuda:1')"
"tensor(46.8570, device='cuda:1')"
"tensor(33.4248, device='cuda:1')"
"tensor(26.2872, device='cuda:1')"
"tensor(73.3892, device='cuda:1')"
"tensor(76.3739, device='cuda:1')"
"tensor(76.8532, device='cuda:1')"
"tensor(22.9927, device='cuda:1')"
"tensor(59.4353, device='cuda:1')"
"tensor(31.9544, device='cuda:1')"
"tensor(18.0966, device='cuda:1')"
"tensor(42.4068, device='cuda:1')"
"tensor(66.1118, device='cuda:1')"
"tensor(28.9295, device='cuda:1')"
"tensor(52.0355, device='cuda:1')"
"tensor(35.5886, device='cuda:1')"
"tensor(49.2560, device='cuda:1')"
"tensor(43.2022, device='cuda:1')"
"tensor(32.0977, device='cuda:1')"
"tensor(50.2527, device='cuda:1')"
"tensor(42.9828, device='cuda:1')"
"tensor(72.0817, device='cuda:1')"
"tensor(123.7546, device='cuda:1')"
"tensor(28.4036, device='cuda:1')"
"tensor(37.4272, device='cuda:1')"
"tensor(35.0226, device='cuda:1')"
"tensor(81.4559, device='cuda:1')"
"tensor(28.1666, device='cuda:1')"
"tensor(7.7505, device='cuda:1')"
"tensor(93.9575, device='cuda:1')"
"tensor(35.9927, device='cuda:1')"
"tensor(114.6430, device='cuda:1')"
"tensor(68.1375, device='cuda:1')"
"tensor(31.6207, device='cuda:1')"
"tensor(28.1693, device='cuda:1')"
"tensor(69.8985, device='cuda:1')"
"tensor(24.7092, device='cuda:1')"
"tensor(63.6788, device='cuda:1')"
"tensor(70.4979, device='cuda:1')"
"tensor(83.0976, device='cuda:1')"
"tensor(47.5668, device='cuda:1')"
"tensor(55.0907, device='cuda:1')"
"tensor(54.0056, device='cuda:1')"
"tensor(32.5906, device='cuda:1')"
"tensor(53.8358, device='cuda:1')"
"tensor(112.0254, device='cuda:1')"
"tensor(82.2535, device='cuda:1')"
"tensor(49.0490, device='cuda:1')"
"tensor(38.1977, device='cuda:1')"
"tensor(24.1738, device='cuda:1')"
"tensor(39.9921, device='cuda:1')"
"tensor(87.0921, device='cuda:1')"
"tensor(56.5331, device='cuda:1')"
"tensor(77.2376, device='cuda:1')"
"tensor(48.1484, device='cuda:1')"
"tensor(74.5834, device='cuda:1')"
"tensor(41.3665, device='cuda:1')"
"tensor(75.3629, device='cuda:1')"
"tensor(67.4590, device='cuda:1')"
"tensor(84.1387, device='cuda:1')"
"tensor(52.5851, device='cuda:1')"
"tensor(44.8030, device='cuda:1')"
"tensor(45.6602, device='cuda:1')"
"tensor(57.6038, device='cuda:1')"
"tensor(29.3741, device='cuda:1')"
"tensor(62.3283, device='cuda:1')"
"tensor(30.7867, device='cuda:1')"
"tensor(23.5312, device='cuda:1')"
"tensor(24.0668, device='cuda:1')"
"tensor(53.2703, device='cuda:1')"
"tensor(56.9399, device='cuda:1')"
"tensor(41.2465, device='cuda:1')"
"tensor(61.4314, device='cuda:1')"
"tensor(45.8519, device='cuda:1')"
"tensor(56.9014, device='cuda:1')"
"tensor(42.2347, device='cuda:1')"
"tensor(22.1085, device='cuda:1')"
"tensor(41.3051, device='cuda:1')"
"tensor(46.5920, device='cuda:1')"
"tensor(18.7392, device='cuda:1')"
"tensor(30.8844, device='cuda:1')"
"tensor(52.3396, device='cuda:1')"
"tensor(91.7198, device='cuda:1')"
"tensor(71.2213, device='cuda:1')"
"tensor(72.2797, device='cuda:1')"
"tensor(50.7011, device='cuda:1')"
"tensor(55.9636, device='cuda:1')"
"tensor(43.9082, device='cuda:1')"
"tensor(258.4184, device='cuda:1')"
"tensor(135.8578, device='cuda:1')"
"tensor(79.9628, device='cuda:1')"
"tensor(32.8006, device='cuda:1')"
"tensor(46.4384, device='cuda:1')"
"tensor(33.4527, device='cuda:1')"
"tensor(51.2877, device='cuda:1')"
