"tensor(35.8165, device='cuda:1')"
"tensor(274.4012, device='cuda:1')"
"tensor(69.3318, device='cuda:1')"
"tensor(44.2482, device='cuda:1')"
"tensor(61.7905, device='cuda:1')"
"tensor(41.6717, device='cuda:1')"
"tensor(73.0295, device='cuda:1')"
"tensor(102.1304, device='cuda:1')"
"tensor(24.8418, device='cuda:1')"
"tensor(41.7794, device='cuda:1')"
"tensor(41.8268, device='cuda:1')"
"tensor(63.9238, device='cuda:1')"
"tensor(88.8787, device='cuda:1')"
"tensor(46.6252, device='cuda:1')"
"tensor(18.8567, device='cuda:1')"
"tensor(86.5173, device='cuda:1')"
"tensor(43.6465, device='cuda:1')"
"tensor(59.8701, device='cuda:1')"
"tensor(15.4843, device='cuda:1')"
"tensor(74.8136, device='cuda:1')"
"tensor(83.2262, device='cuda:1')"
"tensor(88.7849, device='cuda:1')"
"tensor(45.2706, device='cuda:1')"
"tensor(82.3911, device='cuda:1')"
"tensor(28.5818, device='cuda:1')"
"tensor(108.1496, device='cuda:1')"
"tensor(45.0054, device='cuda:1')"
"tensor(48.0773, device='cuda:1')"
"tensor(32.2304, device='cuda:1')"
"tensor(145.1943, device='cuda:1')"
"tensor(33.9860, device='cuda:1')"
"tensor(81.3929, device='cuda:1')"
"tensor(41.2448, device='cuda:1')"
"tensor(22.0083, device='cuda:1')"
"tensor(24.3793, device='cuda:1')"
"tensor(42.3172, device='cuda:1')"
"tensor(42.4307, device='cuda:1')"
"tensor(36.4872, device='cuda:1')"
"tensor(56.0931, device='cuda:1')"
"tensor(36.2224, device='cuda:1')"
"tensor(48.8020, device='cuda:1')"
"tensor(38.6252, device='cuda:1')"
"tensor(90.6854, device='cuda:1')"
"tensor(36.7277, device='cuda:1')"
"tensor(28.0019, device='cuda:1')"
"tensor(19.1488, device='cuda:1')"
"tensor(27.3039, device='cuda:1')"
"tensor(55.8386, device='cuda:1')"
"tensor(27.5021, device='cuda:1')"
"tensor(52.7879, device='cuda:1')"
"tensor(85.7584, device='cuda:1')"
"tensor(24.9660, device='cuda:1')"
"tensor(45.7383, device='cuda:1')"
"tensor(85.4844, device='cuda:1')"
"tensor(53.2412, device='cuda:1')"
"tensor(61.2183, device='cuda:1')"
"tensor(49.3861, device='cuda:1')"
"tensor(53.0642, device='cuda:1')"
"tensor(78.1336, device='cuda:1')"
"tensor(66.8042, device='cuda:1')"
"tensor(37.2248, device='cuda:1')"
"tensor(47.3517, device='cuda:1')"
"tensor(41.6352, device='cuda:1')"
"tensor(50.8440, device='cuda:1')"
"tensor(42.9590, device='cuda:1')"
"tensor(34.5367, device='cuda:1')"
"tensor(57.6716, device='cuda:1')"
"tensor(34.8301, device='cuda:1')"
"tensor(24.0404, device='cuda:1')"
"tensor(17.8144, device='cuda:1')"
"tensor(71.6144, device='cuda:1')"
"tensor(85.5023, device='cuda:1')"
"tensor(46.1800, device='cuda:1')"
"tensor(31.1491, device='cuda:1')"
"tensor(21.2586, device='cuda:1')"
"tensor(64.3064, device='cuda:1')"
"tensor(144.6191, device='cuda:1')"
"tensor(63.3010, device='cuda:1')"
"tensor(61.6634, device='cuda:1')"
"tensor(40.3344, device='cuda:1')"
"tensor(48.6346, device='cuda:1')"
"tensor(58.3695, device='cuda:1')"
"tensor(29.9455, device='cuda:1')"
"tensor(43.9122, device='cuda:1')"
"tensor(25.1890, device='cuda:1')"
"tensor(72.5475, device='cuda:1')"
"tensor(49.2506, device='cuda:1')"
"tensor(81.6684, device='cuda:1')"
"tensor(79.0367, device='cuda:1')"
"tensor(63.3147, device='cuda:1')"
"tensor(65.1616, device='cuda:1')"
"tensor(46.0669, device='cuda:1')"
"tensor(64.5543, device='cuda:1')"
"tensor(36.6353, device='cuda:1')"
"tensor(56.1877, device='cuda:1')"
"tensor(37.9431, device='cuda:1')"
"tensor(36.2264, device='cuda:1')"
"tensor(93.3477, device='cuda:1')"
"tensor(102.6068, device='cuda:1')"
"tensor(31.2477, device='cuda:1')"
"tensor(34.1560, device='cuda:1')"
"tensor(31.6765, device='cuda:1')"
"tensor(34.6289, device='cuda:1')"
"tensor(66.2960, device='cuda:1')"
"tensor(32.5085, device='cuda:1')"
"tensor(45.9765, device='cuda:1')"
"tensor(23.1241, device='cuda:1')"
"tensor(60.4001, device='cuda:1')"
"tensor(63.6263, device='cuda:1')"
"tensor(31.6807, device='cuda:1')"
"tensor(52.3705, device='cuda:1')"
"tensor(44.0836, device='cuda:1')"
"tensor(57.4742, device='cuda:1')"
"tensor(44.1962, device='cuda:1')"
"tensor(76.1285, device='cuda:1')"
"tensor(64.7119, device='cuda:1')"
"tensor(49.0878, device='cuda:1')"
"tensor(62.4355, device='cuda:1')"
"tensor(66.8248, device='cuda:1')"
"tensor(53.7404, device='cuda:1')"
"tensor(66.3423, device='cuda:1')"
"tensor(38.5049, device='cuda:1')"
"tensor(40.3860, device='cuda:1')"
"tensor(57.9712, device='cuda:1')"
"tensor(69.8735, device='cuda:1')"
"tensor(91.4825, device='cuda:1')"
"tensor(94.3850, device='cuda:1')"
"tensor(119.3836, device='cuda:1')"
"tensor(49.1110, device='cuda:1')"
"tensor(49.1141, device='cuda:1')"
"tensor(98.3386, device='cuda:1')"
"tensor(30.6512, device='cuda:1')"
"tensor(69.3229, device='cuda:1')"
"tensor(31.6485, device='cuda:1')"
"tensor(31.0911, device='cuda:1')"
"tensor(23.8532, device='cuda:1')"
"tensor(41.9319, device='cuda:1')"
"tensor(50.2358, device='cuda:1')"
"tensor(35.7394, device='cuda:1')"
"tensor(11.6228, device='cuda:1')"
"tensor(46.8626, device='cuda:1')"
"tensor(41.5562, device='cuda:1')"
"tensor(33.5805, device='cuda:1')"
"tensor(21.1253, device='cuda:1')"
"tensor(22.1397, device='cuda:1')"
"tensor(73.0421, device='cuda:1')"
"tensor(116.6185, device='cuda:1')"
"tensor(38.9909, device='cuda:1')"
"tensor(65.6284, device='cuda:1')"
"tensor(46.9672, device='cuda:1')"
"tensor(88.2545, device='cuda:1')"
"tensor(69.2280, device='cuda:1')"
"tensor(56.4561, device='cuda:1')"
"tensor(32.8494, device='cuda:1')"
"tensor(40.2480, device='cuda:1')"
"tensor(28.6898, device='cuda:1')"
"tensor(38.2434, device='cuda:1')"
"tensor(47.3595, device='cuda:1')"
"tensor(76.2637, device='cuda:1')"
"tensor(32.8836, device='cuda:1')"
"tensor(41.2462, device='cuda:1')"
"tensor(18.8618, device='cuda:1')"
"tensor(55.1416, device='cuda:1')"
"tensor(37.2695, device='cuda:1')"
"tensor(90.9888, device='cuda:1')"
"tensor(34.0104, device='cuda:1')"
"tensor(81.7025, device='cuda:1')"
"tensor(127.8977, device='cuda:1')"
"tensor(33.0589, device='cuda:1')"
"tensor(56.8496, device='cuda:1')"
"tensor(30.3749, device='cuda:1')"
"tensor(80.0990, device='cuda:1')"
"tensor(26.8778, device='cuda:1')"
"tensor(33.2471, device='cuda:1')"
"tensor(43.0231, device='cuda:1')"
"tensor(35.4296, device='cuda:1')"
"tensor(24.5865, device='cuda:1')"
"tensor(70.2152, device='cuda:1')"
"tensor(57.6773, device='cuda:1')"
"tensor(44.9138, device='cuda:1')"
"tensor(64.0728, device='cuda:1')"
"tensor(304.3911, device='cuda:1')"
"tensor(39.9335, device='cuda:1')"
"tensor(71.3808, device='cuda:1')"
"tensor(39.2857, device='cuda:1')"
"tensor(39.9533, device='cuda:1')"
"tensor(92.2093, device='cuda:1')"
"tensor(66.2320, device='cuda:1')"
"tensor(50.9176, device='cuda:1')"
"tensor(65.8055, device='cuda:1')"
"tensor(34.3696, device='cuda:1')"
"tensor(84.1486, device='cuda:1')"
"tensor(35.0554, device='cuda:1')"
"tensor(25.4649, device='cuda:1')"
