"tensor(31.7752, device='cuda:1')"
"tensor(91.7104, device='cuda:1')"
"tensor(61.0700, device='cuda:1')"
"tensor(65.8830, device='cuda:1')"
"tensor(43.0383, device='cuda:1')"
"tensor(62.0419, device='cuda:1')"
"tensor(61.0708, device='cuda:1')"
"tensor(74.3827, device='cuda:1')"
"tensor(50.1262, device='cuda:1')"
"tensor(62.9214, device='cuda:1')"
"tensor(66.7803, device='cuda:1')"
"tensor(102.3224, device='cuda:1')"
"tensor(61.6112, device='cuda:1')"
"tensor(86.2333, device='cuda:1')"
"tensor(85.0584, device='cuda:1')"
"tensor(25.8439, device='cuda:1')"
"tensor(45.3051, device='cuda:1')"
"tensor(58.1626, device='cuda:1')"
"tensor(46.5836, device='cuda:1')"
"tensor(68.0684, device='cuda:1')"
"tensor(82.3202, device='cuda:1')"
"tensor(51.0952, device='cuda:1')"
"tensor(69.0042, device='cuda:1')"
"tensor(33.9551, device='cuda:1')"
"tensor(48.1384, device='cuda:1')"
"tensor(73.4675, device='cuda:1')"
"tensor(50.5691, device='cuda:1')"
"tensor(47.0635, device='cuda:1')"
"tensor(88.7967, device='cuda:1')"
"tensor(96.0300, device='cuda:1')"
"tensor(55.7931, device='cuda:1')"
"tensor(63.4238, device='cuda:1')"
"tensor(39.5838, device='cuda:1')"
"tensor(45.4078, device='cuda:1')"
"tensor(57.5463, device='cuda:1')"
"tensor(44.9344, device='cuda:1')"
"tensor(38.9217, device='cuda:1')"
"tensor(31.6104, device='cuda:1')"
"tensor(63.2344, device='cuda:1')"
"tensor(50.9891, device='cuda:1')"
"tensor(59.7544, device='cuda:1')"
"tensor(96.1927, device='cuda:1')"
"tensor(79.0528, device='cuda:1')"
"tensor(101.9931, device='cuda:1')"
"tensor(47.0608, device='cuda:1')"
"tensor(75.7729, device='cuda:1')"
"tensor(50.9008, device='cuda:1')"
"tensor(85.2449, device='cuda:1')"
"tensor(94.1648, device='cuda:1')"
"tensor(33.5646, device='cuda:1')"
"tensor(37.8127, device='cuda:1')"
"tensor(62.8767, device='cuda:1')"
"tensor(55.8786, device='cuda:1')"
"tensor(90.9304, device='cuda:1')"
"tensor(55.5593, device='cuda:1')"
"tensor(32.1915, device='cuda:1')"
"tensor(17.9941, device='cuda:1')"
"tensor(25.8475, device='cuda:1')"
"tensor(41.2581, device='cuda:1')"
"tensor(62.5561, device='cuda:1')"
"tensor(82.2454, device='cuda:1')"
"tensor(36.8354, device='cuda:1')"
"tensor(35.1597, device='cuda:1')"
"tensor(36.8947, device='cuda:1')"
"tensor(61.9045, device='cuda:1')"
"tensor(33.1244, device='cuda:1')"
"tensor(51.7703, device='cuda:1')"
"tensor(35.7515, device='cuda:1')"
"tensor(22.2122, device='cuda:1')"
"tensor(82.4512, device='cuda:1')"
"tensor(83.0588, device='cuda:1')"
"tensor(87.4832, device='cuda:1')"
"tensor(99.7131, device='cuda:1')"
"tensor(68.4048, device='cuda:1')"
"tensor(64.6956, device='cuda:1')"
"tensor(100.3549, device='cuda:1')"
"tensor(86.3651, device='cuda:1')"
"tensor(30.6782, device='cuda:1')"
"tensor(52.3223, device='cuda:1')"
"tensor(50.6412, device='cuda:1')"
"tensor(54.7370, device='cuda:1')"
"tensor(21.1518, device='cuda:1')"
"tensor(59.8672, device='cuda:1')"
"tensor(68.2337, device='cuda:1')"
"tensor(53.9187, device='cuda:1')"
"tensor(44.3040, device='cuda:1')"
"tensor(88.2263, device='cuda:1')"
"tensor(48.9444, device='cuda:1')"
"tensor(30.4135, device='cuda:1')"
"tensor(36.1661, device='cuda:1')"
"tensor(34.3110, device='cuda:1')"
"tensor(65.7931, device='cuda:1')"
"tensor(46.7099, device='cuda:1')"
"tensor(26.3343, device='cuda:1')"
"tensor(78.2323, device='cuda:1')"
"tensor(625.4222, device='cuda:1')"
"tensor(67.0343, device='cuda:1')"
"tensor(53.9407, device='cuda:1')"
"tensor(60.9839, device='cuda:1')"
"tensor(64.2215, device='cuda:1')"
"tensor(59.2671, device='cuda:1')"
"tensor(50.9578, device='cuda:1')"
"tensor(80.0556, device='cuda:1')"
"tensor(54.0343, device='cuda:1')"
"tensor(45.5413, device='cuda:1')"
"tensor(95.7178, device='cuda:1')"
"tensor(50.9373, device='cuda:1')"
"tensor(34.4730, device='cuda:1')"
"tensor(55.4705, device='cuda:1')"
"tensor(39.6991, device='cuda:1')"
"tensor(55.3581, device='cuda:1')"
"tensor(48.8568, device='cuda:1')"
"tensor(51.4843, device='cuda:1')"
"tensor(48.0517, device='cuda:1')"
"tensor(42.3202, device='cuda:1')"
"tensor(66.2970, device='cuda:1')"
"tensor(26.5408, device='cuda:1')"
"tensor(82.4307, device='cuda:1')"
"tensor(58.9908, device='cuda:1')"
"tensor(21.8299, device='cuda:1')"
"tensor(46.3861, device='cuda:1')"
